memory,time,conversation_index,session_id,cpu_edge_ns,cpu_cloud_ns,ram_edge_bytes,ram_cloud_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,openai_tokens,openai_cost_usd,api_latency_s,metric_window_s,toxic_latency,toxic_jitter,toxic_bandwidth,toxic_slow_close,toxic_timeout,toxic_slicer,toxic_limit_data,toxic_reset_peer
graphiti,1763669532.120884,0,1,226635235365.57254,2300807807047.701,83727121347.76482,92973486200.47081,0.0,83951079.01712942,9996113.97915179,53245693.51221811,39259,0.004834059999999999,102.95440077781677,102,200,50,1000,0,0,0,0,0
graphiti,1763669680.8709717,0,2,245257717763.5709,2507717190881.6646,86181353062.40007,96054862175.08607,0.0,109879830.37558019,10769908.666079305,109027414.5358435,43034,0.00546794,105.56435775756836,105,200,50,1000,0,0,0,0,0
graphiti,1763669909.0328438,0,3,718460438842.8339,7461311304946.632,149626747517.90073,167132463327.8259,0.0,228803991.92408687,24918536.783621825,355323172.01031643,56283,0.00763272,183.47004413604736,183,200,50,1000,0,0,0,0,0
graphiti,1763670068.7718196,0,4,268994041438.03766,3101944144327.13,96764220051.52516,108377845135.186,0.0,58773972.27309105,12133210.627041748,134143626.0565167,45228,0.00594378,118.62798500061035,118,200,50,1000,0,0,0,0,0
graphiti,1763670261.227707,0,5,408011480711.3682,4753573514260.129,120340907990.20416,135078270822.7481,0.0,265456392.49760264,15729533.758209292,248790627.0683436,40077,0.005418900000000001,147.44650173187256,147,200,50,1000,0,0,0,0,0
graphiti,1763670450.481268,0,6,402200132964.3342,4914695159013.066,118772644080.10983,133437873526.28954,0.0,140360481.57194394,15508231.439454865,171072123.6943258,42799,0.005591320000000001,145.34264826774597,145,200,50,1000,0,0,0,0,0
graphiti,1763670646.0261104,0,7,446663194341.58527,5508609343301.2295,125227266155.085,140949857300.0784,0.0,265309515.19086406,16401658.646590209,249306195.4283291,65186,0.00841898,153.7050359249115,153,200,50,1000,0,0,0,0,0
graphiti,1763670891.329953,0,8,801207362343.7699,9463332547540.18,163462081712.78027,184382248992.50366,0.0,392985830.85520154,25008842.849702142,515925689.25147015,93360,0.011915219999999999,200.4302990436554,200,200,50,1000,0,0,0,0,0
graphiti,1763671031.3531666,0,9,221763056595.96576,2457893898159.4478,81309984457.69702,91982003065.53539,0.0,102949757.84443407,10470485.091330359,112332447.67113157,41433,0.0053175,99.69558930397034,99,200,50,1000,0,0,0,0,0
graphiti,1763671242.3252027,0,10,630706561983.5095,7916072090585.778,138245691282.93506,156589477694.10663,20702746.06432053,175272569.44704273,22976509.17829629,289519928.55002826,56389,0.007261,169.3478364944458,169,200,50,1000,0,0,0,0,0
graphiti,1763671405.9545834,0,11,405417735973.2525,4653482591081.712,100038233977.70482,113514741289.96704,499757.4325062778,151848492.65218848,13085344.477131454,148488099.73687714,43216,0.00575128,122.607754945755,122,200,50,1000,0,0,0,0,0
graphiti,1763671542.6011553,0,12,255871983034.81775,2841839216608.0723,78077052259.70523,88743537566.9897,1958220.2629147056,103541670.59975238,10164851.412256071,108827523.3369717,47948,0.0059475199999999995,95.85690712928772,95,200,50,1000,0,0,0,0,0
graphiti,1763671721.4767818,0,13,477945165757.79926,5890971115653.385,109799850259.10439,124979946052.77634,0.0,145124728.25391477,15002724.554697141,231914861.75624546,52867,0.00699106,134.92676448822021,134,200,50,1000,0,0,0,0,0
graphiti,1763672014.7727504,0,14,1669502050063.5415,19768574216723.145,205785604112.2531,234620899327.99838,0.0,371684638.5658288,37858918.02965342,667035438.7321001,87161,0.011820680000000002,252.1191897392273,252,200,50,1000,0,0,0,0,0
graphiti,1763672187.5238135,0,15,498872223230.7524,6601189335630.614,105826643338.57922,120832231165.0994,0.0,161674159.77458638,14628780.152708005,189925913.20228717,59117,0.00732728,129.13262295722961,129,200,50,1000,0,0,0,0,0
graphiti,1763672367.9667313,0,16,492541598364.7964,6069501374721.795,110612660800.47397,126691666906.07437,0.0,185528733.04117262,14242667.99222231,213270505.43931788,49558,0.006773680000000001,135.77382445335388,135,200,50,1000,0,0,0,0,0
graphiti,1763672537.855737,0,17,478654668218.9839,5911709033247.08,105723994810.54263,121356710142.01537,0.0,93972431.56077753,13422742.906588072,173381967.86846858,58833,0.0076250400000000005,129.2955243587494,129,200,50,1000,0,0,0,0,0
graphiti,1763672698.9234478,0,18,399532941518.11804,5524359400837.424,98409918771.20032,113144456465.06696,30840990.84077687,75337948.57917851,12305725.300246209,153660781.23610735,50043,0.006327300000000001,120.82175135612488,120,200,50,1000,0,0,0,0,0
graphiti,1763672845.47075,0,19,261488740378.89487,3946832997378.556,82958131321.66339,95576251523.80203,0.0,53810769.4923376,10066412.006402787,105546583.15694183,39665,0.00539984,101.77389335632324,101,200,50,1000,0,0,0,0,0
