memory,time,conversation_index,session_id,cpu_edge_ns,cpu_cloud_ns,ram_edge_bytes,ram_cloud_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,openai_tokens,openai_cost_usd,api_latency_s,metric_window_s,toxic_latency,toxic_jitter,toxic_bandwidth,toxic_slow_close,toxic_timeout,toxic_slicer,toxic_limit_data,toxic_reset_peer
mem0,1763610300.4320154,0,1,34289710029.795567,414608995637.0132,5055935703.171941,36581515787.286674,0.0,117090072.18052843,3819767.8334701955,16223742.492911685,39113,0.00479228,51.52407193183899,51,0,0,0,0,0,0,0,0
mem0,1763610398.8703358,0,2,55546228539.11522,150591917081.7739,5833654098.440678,44382244374.562706,0.0,19110313.774331987,5016569.00233677,46544558.89261785,43103,0.00550718,59.13062405586243,59,0,0,0,0,0,0,0,0
mem0,1763610528.133761,0,3,127933587126.01027,377288484407.52686,8770335630.222221,67538617230.22231,0.0,40329703.53864718,9274578.423349213,124710235.39481094,55403,0.0073883,90.06755542755127,90,0,0,0,0,0,0,0,0
mem0,1763610632.9956205,0,4,63439893606.950676,235727716190.68378,6320666844.553845,49182075793.72318,0.0,18646849.106234897,5386713.99934568,62866582.265646525,48293,0.006243500000000001,65.6412296295166,65,0,0,0,0,0,0,0,0
mem0,1763610723.758525,0,5,40019058285.14233,142131893937.70932,4997089239.843137,38862822138.98039,0.0,9943779.418861115,4320408.602783278,30264878.931306154,39135,0.00511662,51.467641830444336,51,0,0,0,0,0,0,0,0
mem0,1763610834.7035327,0,6,78097735593.68341,316812583890.93665,6904211773.295774,53908135705.23951,0.0,29332551.817142583,6715184.968168343,73695693.88392733,43267,0.00572362,71.67915797233582,71,0,0,0,0,0,0,0,0
mem0,1763610968.3406744,0,7,136401781407.10178,619293955965.0187,9108723450.553194,72682266754.72356,0.0,46661703.95197589,9517935.103194544,137725415.23426697,68117,0.00866492,94.32970333099365,94,0,0,0,0,0,0,0,0
mem0,1763611128.6629462,0,8,221833782349.41397,955119757209.3291,11700227554.380169,93956217627.50436,0.0,105094472.54144475,12226448.703172408,269271048.4480996,91032,0.011567880000000001,121.11364459991455,121,0,0,0,0,0,0,0,0
mem0,1763611232.6007445,0,9,62073671995.806946,305348576570.5188,6233796416.0,50240172160.0,0.0,27872587.05286359,5534948.550770606,59588810.50429202,45145,0.0058432,64.8286452293396,64,0,0,0,0,0,0,0,0
mem0,1763611344.0945277,0,10,85942145988.0893,414635406923.07587,7001355832.888892,56552928654.22223,0.0,24890856.522278115,6757721.175969316,71977692.6446058,52731,0.0067479,72.28933382034302,72,0,0,0,0,0,0,0,0
mem0,1763611451.3417046,0,11,73425832063.61102,424338677174.8573,6617545487.058822,53601594006.58816,0.0,25343632.961049803,6437208.695784268,69229268.22056206,43318,0.00582592,68.00643229484558,68,0,0,0,0,0,0,0,0
mem0,1763611550.6939502,0,12,56387844092.934654,340239205676.1273,5850521258.66667,47473188181.33327,0.0,33471725.64271539,5277803.619373712,59071900.650561415,48063,0.0059508,60.10453391075134,60,0,0,0,0,0,0,0,0
mem0,1763611669.4272199,0,13,93912721496.6769,609491720250.2405,7674605049.518983,62396355804.354614,0.0,68869938.42315777,7426943.700480677,117565659.6543033,53120,0.0070598000000000015,79.42154932022095,79,0,0,0,0,0,0,0,0
mem0,1763611824.841333,0,14,197900680098.15924,1353291197199.6846,11224758766.344828,91470607183.44795,0.0,118193999.74908027,13101808.910321949,274708196.04747766,83667,0.01090818,116.1829526424408,116,0,0,0,0,0,0,0,0
mem0,1763611949.485366,0,15,113917304303.06787,772188682328.4493,8254250574.305881,67416656859.859055,0.0,50702467.02250917,8801126.975487014,117364260.9286084,61416,0.007692840000000001,85.28310489654541,85,0,0,0,0,0,0,0,0
mem0,1763612076.536423,0,16,141608729844.13977,1206845962868.66,8446694317.609198,69159887507.1263,0.0,119362999.70086078,8374674.801269703,169965015.40339628,49608,0.00683094,87.69384121894836,87,0,0,0,0,0,0,0,0
mem0,1763612196.8012652,0,17,129277695007.76366,1125260666824.0122,7789519616.0,63821670656.0,0.0,40842607.55913169,8295925.135731075,95168294.99517997,58688,0.00759692,80.94659972190857,80,0,0,0,0,0,0,0,0
mem0,1763612313.563932,0,18,116604174615.27516,1032626114422.2091,7487080740.571424,61596674872.51942,0.0,40742754.914715596,7873340.508459832,93601474.88995835,54310,0.00700786,77.50392842292786,77,0,0,0,0,0,0,0,0
mem0,1763612415.4206474,0,19,76857246702.77184,704690224299.5262,6051349867.354841,49856386477.41936,0.0,24530938.273178928,5789815.565440804,55214709.51916592,39886,0.00545038,62.493746757507324,62,0,0,0,0,0,0,0,0
